gene,kTotal,kWithin,kOut,kDiff,module
ENSG00000092201.9,277.8498257,209.6469409,68.20288479,141.4440562,34
ENSG00000117505.12,277.8026198,236.7033615,41.09925826,195.6041033,72
ENSG00000134255.13,277.7490879,208.4057213,69.34336662,139.0623546,72
ENSG00000152942.18,277.5989732,202.9760692,74.62290393,128.3531653,34
ENSG00000170445.12,277.467553,266.5036412,10.96391179,255.5397295,34
ENSG00000182400.14,277.4573469,251.04692,26.41042687,224.6364932,72
ENSG00000151148.13,277.2576837,210.7302817,66.52740196,144.2028798,72
ENSG00000177885.13,277.2285845,250.0065089,27.2220756,222.7844333,72
ENSG00000166887.15,277.1913365,108.3316267,168.8597098,-60.52808308,34
ENSG00000112697.15,276.8905518,259.9133133,16.97723855,242.9360747,72
ENSG00000198218.10,276.8505451,254.6136228,22.23692228,232.3767005,34
ENSG00000116001.15,276.7011831,183.3020748,93.3991083,89.90296654,72
ENSG00000105186.15,276.6495086,132.5757044,144.0738042,-11.49809982,72
ENSG00000090060.17,276.3795694,238.8856622,37.49390714,201.3917551,72
ENSG00000121879.3,276.2975071,258.794338,17.50316917,241.2911688,72
ENSG00000127870.16,276.2281873,216.0914421,60.13674524,155.9546968,72
ENSG00000071243.15,276.0499767,230.5013244,45.54865228,184.9526721,72
ENSG00000047932.13,276.0101239,146.7767303,129.2333936,17.54333662,72
ENSG00000118007.12,275.8964664,230.6236684,45.27279802,185.3508703,72
ENSG00000112701.17,275.8565042,219.4175017,56.43900252,162.9784992,72
ENSG00000198700.9,275.757364,270.6273129,5.130051078,265.4972619,34
ENSG00000162642.13,275.745305,201.9990032,73.74630184,128.2527013,72
ENSG00000177479.19,275.7337107,234.1427889,41.59092183,192.551867,34
ENSG00000004700.15,275.5556507,143.5223423,132.0333084,11.48903389,72
ENSG00000165678.20,275.4097102,235.082571,40.32713915,194.7554319,72
ENSG00000154174.7,275.3064636,246.141899,29.16456461,216.9773343,34
ENSG00000132153.14,275.1946498,273.5250305,1.669619273,271.8554113,34
ENSG00000128908.15,274.7183327,242.4719154,32.24641732,210.2254981,34
ENSG00000121644.18,274.5024395,169.2909978,105.2114417,64.07955615,72
ENSG00000168887.10,274.4453814,237.0177295,37.42765192,199.5900775,72
ENSG00000121774.17,274.416143,220.3031893,54.11295361,166.1902357,34
ENSG00000119446.13,274.2705192,165.5841914,108.6863277,56.89786372,72
ENSG00000198162.12,274.2041621,182.3366589,91.86750323,90.46915568,34
ENSG00000168872.16,274.1180778,270.2491288,3.868948995,266.3801798,34
ENSG00000131013.3,273.9258531,181.9723942,91.95345885,90.01893537,72
ENSG00000128699.13,273.8731087,178.6566243,95.21648449,83.44013976,72
ENSG00000197442.9,273.8583698,262.5287612,11.32960859,251.1991526,72
ENSG00000163539.16,273.7927385,206.6753451,67.11739331,139.5579518,34
ENSG00000072803.17,273.6023854,174.2709829,99.33140254,74.93958031,72
ENSG00000165525.17,273.4422092,166.0801735,107.3620357,58.71813783,72
ENSG00000101343.14,273.436225,248.5668411,24.86938394,223.6974572,72
ENSG00000090905.18,273.3167698,189.1261037,84.19066607,104.9354377,34
ENSG00000160294.10,273.3017238,248.2621644,25.03955948,223.2226049,34
ENSG00000154001.13,273.2285034,191.7654337,81.46306973,110.302364,34
ENSG00000146833.15,273.1923029,143.5331416,129.6591613,13.87398029,34
ENSG00000179295.17,273.0884492,142.0708101,131.0176391,11.05317096,34
ENSG00000115421.12,273.0802882,210.1068545,62.97343369,147.1334209,72
ENSG00000174953.13,272.7004316,155.1895707,117.510861,37.67870972,34
ENSG00000142864.14,272.3513415,245.0445844,27.30675705,217.7378274,34
ENSG00000075975.15,272.1728581,173.1794831,98.99337502,74.18610806,72
ENSG00000082213.17,271.9888875,110.8540817,161.1348058,-50.28072409,34
ENSG00000198887.8,271.9801211,145.0806724,126.8994486,18.18122384,34
ENSG00000113048.16,271.9641613,269.0442187,2.919942554,266.1242762,34
ENSG00000129933.20,271.9333383,233.1777196,38.7556187,194.4221009,72
ENSG00000198677.10,271.8220868,229.7592339,42.06285294,187.6963809,34
ENSG00000166501.12,271.7069775,235.7242315,35.98274597,199.7414856,72
ENSG00000114648.11,271.6027578,215.2448585,56.35789932,158.8869592,72
ENSG00000100815.12,271.5087696,182.6347382,88.87403142,93.76070674,72
ENSG00000066455.12,271.3518673,199.7592989,71.59256835,128.1667306,72
ENSG00000183726.10,271.2423091,245.0358608,26.20644829,218.8294125,72
ENSG00000085511.19,271.2349631,264.347241,6.887722074,257.4595189,34
ENSG00000082701.14,271.0587383,257.8559988,13.20273948,244.6532594,72
ENSG00000088448.14,271.0518592,158.2176712,112.834188,45.38348314,72
ENSG00000107758.15,270.9148329,93.44591902,177.4689139,-84.02299485,34
ENSG00000089916.17,270.6610206,171.0321552,99.62886541,71.40328977,72
ENSG00000155229.20,270.5391863,265.2456623,5.293524011,259.9521383,34
ENSG00000111361.12,270.4031466,213.15665,57.24649654,155.9101535,34
ENSG00000186298.11,270.4029398,169.1860953,101.2168445,67.96925085,72
ENSG00000170876.7,270.2848446,253.2909526,16.99389206,236.2970605,72
ENSG00000168566.12,270.209818,180.3404275,89.86939052,90.47103695,72
ENSG00000123200.16,269.9046444,170.6833913,99.22125307,71.46213827,72
ENSG00000140382.14,269.7244374,237.7238779,32.00055948,205.7233184,34
ENSG00000174606.13,269.4157625,141.3449016,128.0708609,13.27404069,72
ENSG00000079950.13,269.4061803,261.8495263,7.556653908,254.2928724,72
ENSG00000170242.17,269.2596088,143.5579342,125.7016745,17.85625968,34
