gene_id,module,kTotal_input,kWithin_input,kOut_input,kDiff_input,kTotal_output,kWithin_output,kOut_output,kDiff_output,gene
ENSG00000011009.10,34,143.3540261,75.74077604,67.61325008,8.127525964,75.74077604,75.74077604,0,75.74077604,LYPLA2
ENSG00000011021.21,34,124.5656187,119.8101623,4.755456371,115.054706,119.8101623,119.8101623,0,119.8101623,CLCN6
ENSG00000011114.14,72,278.2471437,230.0406281,48.20651557,181.8341126,359.4393814,359.4393814,0,359.4393814,BTBD7
ENSG00000011132.11,34,89.51299332,86.23571815,3.277275168,82.95844298,86.23571815,86.23571815,0,86.23571815,APBA3
ENSG00000011143.16,34,99.31455978,98.72617353,0.588386252,98.13778727,98.72617353,98.72617353,0,98.72617353,MKS1
ENSG00000011243.17,34,24.01046299,23.87206266,0.138400327,23.73366233,23.87206266,23.87206266,0,23.87206266,AKAP8L
ENSG00000011258.15,72,257.3954859,195.7130725,61.68241342,134.0306591,304.1439929,304.1439929,0,304.1439929,MBTD1
ENSG00000011260.13,34,178.4427079,106.5288888,71.91381911,34.61506972,106.5288888,106.5288888,0,106.5288888,UTP18
ENSG00000011275.18,34,200.8848036,116.1085517,84.77625192,31.33229973,116.1085517,116.1085517,0,116.1085517,RNF216
ENSG00000011295.15,34,164.1025655,159.0274282,5.075137243,153.952291,159.0274282,159.0274282,0,159.0274282,TTC19
ENSG00000011304.19,34,197.7521565,193.6663003,4.085856207,189.5804441,193.6663003,193.6663003,0,193.6663003,PTBP1
ENSG00000011376.9,34,156.4592656,154.7644248,1.694840804,153.069584,154.7644248,154.7644248,0,154.7644248,LARS2
ENSG00000011405.13,34,186.0731373,139.3076851,46.76545219,92.54223288,139.3076851,139.3076851,0,139.3076851,PIK3C2A
ENSG00000011451.17,34,157.8380644,149.504043,8.33402136,141.1700217,149.504043,149.504043,0,149.504043,WIZ
ENSG00000011454.16,72,280.2034745,100.735687,179.4677875,-78.73210044,152.61571,152.61571,0,152.61571,RABGAP1
ENSG00000011478.11,34,70.90150932,70.46757117,0.433938155,70.03363301,70.46757117,70.46757117,0,70.46757117,QPCTL
ENSG00000011485.14,34,147.1885627,146.7237337,0.464829044,146.2589046,146.7237337,146.7237337,0,146.7237337,PPP5C
ENSG00000011523.13,72,39.88312803,15.50917487,24.37395316,-8.864778291,34.75320179,34.75320179,0,34.75320179,CEP68
ENSG00000011600.11,72,64.30484118,58.30125121,6.003589969,52.29766124,91.91438196,91.91438196,1.42E-14,91.91438196,TYROBP
ENSG00000011638.10,34,60.30009751,49.8651427,10.43495481,39.43018788,49.8651427,49.8651427,0,49.8651427,TMEM159
ENSG00000012061.15,34,87.48315636,86.68109736,0.802059002,85.87903836,86.68109736,86.68109736,0,86.68109736,ERCC1
ENSG00000012232.8,72,146.7253522,140.5660438,6.159308382,134.4067354,238.1838199,238.1838199,0,238.1838199,EXTL3
ENSG00000012660.13,72,175.8244983,135.8915834,39.93291494,95.95866842,201.7824959,201.7824959,0,201.7824959,ELOVL5
ENSG00000012779.10,72,112.3625574,108.8356351,3.526922312,105.3087128,166.1314215,166.1314215,5.68E-14,166.1314215,ALOX5
ENSG00000012822.15,72,114.145906,73.6091137,40.53679225,33.07232144,133.7017126,133.7017126,2.84E-14,133.7017126,CALCOCO1
