gene,beta,t,p,se.beta.,p_corr,gene_symbol
ENSG00000146834.13,0.411567221963821,2.87486477980895,0.00405408495988875,0.14316054962111,0.0454157342496977,MEPCE
ENSG00000146842.16,0.521679036882703,2.37061000118409,0.0177854544100855,0.22006109677346,0.0951885403819155,TMEM209
ENSG00000146872.17,0.087068744777033,0.576841479332509,0.564064932248067,0.150940506008313,0.717021271047956,TLK2
ENSG00000146909.7,0.145138049078325,0.563034841370763,0.573429033445731,0.257778095446051,0.72389207129201,NOM1
ENSG00000146918.19,0.171441510499394,0.843077294847664,0.399213769518647,0.203352066942298,0.58170134494452,NCAPG2
ENSG00000146963.17,-0.0025672637212762,-0.02263644375989,0.981940912886816,0.113412855327796,0.989871928402125,LUC7L2
ENSG00000147316.12,-0.0928692029528552,-0.668252673885603,0.503994157163628,0.138973185715607,0.672697967347758,MCPH1
ENSG00000147364.16,0.575802485129981,1.92451669251796,0.0543299811056096,0.299193292200872,0.175783569843476,FBXO25
ENSG00000147408.14,-0.020210095509056,-1.40814514703527,0.159132114296435,0.014352281475817,0.332841446685158,CSGALNACT1
ENSG00000147416.10,0.0247027756443678,0.377579585765245,0.705754279037858,0.0654240233732509,0.821407304013789,ATP6V1B2
ENSG00000147419.17,0.102299734712268,0.749533016145217,0.453560973442097,0.136484627773152,0.630980352221565,CCDC25
ENSG00000147421.17,0.187578162039888,0.498214631037238,0.618348286009581,0.376500709441967,0.758460841869661,HMBOX1
ENSG00000147439.12,0.0041109110717727,0.0578403019736025,0.953877472002098,0.0710734718094809,0.974463899479189,BIN3
ENSG00000147443.12,0.187123750398966,1.31751630490188,0.187708360857211,0.142027654384817,0.368590218873512,DOK2
ENSG00000147457.13,0.103973046580139,2.03366140697414,0.0420230535555625,0.0511260361354053,0.152877292566193,CHMP7
ENSG00000147459.17,0.132466165995833,1.13075346342747,0.258197271578252,0.117148583029151,0.448319882542659,DOCK5
ENSG00000147471.11,0.219830531329483,1.2135909135608,0.224944565139748,0.181140554756197,0.412465527077787,PROSC
ENSG00000147475.14,0.272193529514173,1.44777212237177,0.147725182830121,0.188008544513387,0.316598147656598,ERLIN2
