gene_id,gene,module,kTotal_input
ENSG00000132664.11,POLR3F,34,174.6666468
ENSG00000132670.20,PTPRA,34,239.0281355
ENSG00000132676.15,DAP3,34,247.7010213
ENSG00000132680.10,KIAA0907,34,233.4735534
ENSG00000132773.11,TOE1,34,173.4342184
ENSG00000132781.17,MUTYH,34,188.2027599
ENSG00000132953.16,XPO4,34,218.5832932
ENSG00000133028.10,SCO1,34,232.0597525
ENSG00000133030.20,MPRIP,34,234.3033965
ENSG00000133393.12,FOPNL,34,171.804288
ENSG00000133398.3,MED10,34,192.7708921
ENSG00000133597.10,ADCK2,34,158.8067462
ENSG00000133706.17,LARS,34,203.1091711
ENSG00000133895.14,MEN1,34,202.1606242
ENSG00000134001.12,EIF2S1,34,177.6016548
ENSG00000134014.16,ELP3,34,159.4725937
ENSG00000134077.15,THUMPD3,34,187.5138189
ENSG00000134283.17,PPHLN1,34,364.5418968
ENSG00000134308.13,YWHAQ,34,240.0082698
ENSG00000134375.10,TIMM17A,34,175.9888709
ENSG00000134440.11,NARS,34,232.0979924
ENSG00000134452.19,FBXO18,34,242.5952446
ENSG00000134453.15,RBM17,34,166.7297087
ENSG00000134644.15,PUM1,34,241.1280601
ENSG00000134697.12,GNL2,34,197.4290277
ENSG00000134748.12,PRPF38A,34,263.4558894
ENSG00000134759.13,ELP2,34,243.324333
ENSG00000134882.15,UBAC2,34,262.9038629
ENSG00000134900.11,TPP2,34,259.8643321
ENSG00000134970.13,TMED7,34,166.0504529
ENSG00000134987.11,WDR36,34,233.8274395
